"State","Year","poverty_rate"
"Idaho",2003,"10.199999999999999"
"Illinois",2003,"12.6"
"Indiana",2003,"9.9"
"Iowa",2003,"8.9"
"Kansas",2003,"10.8"
"Kentucky",2003,"14.4"
"Louisiana",2003,"17"
"Maine",2003,"11.6"
"Maryland",2003,"8.6"
"Massachusetts",2003,"10.3"
"Michigan",2003,"11.4"
"Minnesota",2003,"7.4"
"Mississippi",2003,"16"
"Missouri",2003,"10.7"
"Montana",2003,"15.1"
"Nebraska",2003,"9.8000000000000007"
"Nevada",2003,"10.9"
"New Hampshire",2003,"5.8"
"New Jersey",2003,"8.6"
"New Mexico",2003,"18.100000000000001"
"New York",2003,"14.3"
"North Carolina",2003,"15.7"
"North Dakota",2003,"9.6999999999999993"
"Ohio",2003,"10.9"
"Oklahoma",2003,"12.8"
"Oregon",2003,"12.5"
"Pennsylvania",2003,"10.5"
"Rhode Island",2003,"11.5"
"South Carolina",2003,"12.7"
"South Dakota",2003,"12.7"
"Tennessee",2003,"14"
"Texas",2003,"17"
"Utah",2003,"9.1"
"Vermont",2003,"8.5"
"Virginia",2003,"10"
"Washington",2003,"12.6"
"West Virginia",2003,"17.399999999999999"
"Wisconsin",2003,"9.8000000000000007"
"Wyoming",2003,"9.8000000000000007"
"Alabama",2002,"14.5"
"Alaska",2002,"8.8000000000000007"
"Arizona",2002,"13.5"
"Arkansas",2002,"19.8"
"California",2002,"13.1"
"Colorado",2002,"9.8000000000000007"
"Connecticut",2002,"8.3000000000000007"
"Delaware",2002,"9.1"
"District of Columbia",2002,"17"
"Florida",2002,"12.6"
"Georgia",2002,"11.2"
"Hawaii",2002,"11.3"
"Idaho",2002,"11.3"
"Illinois",2002,"12.8"
"Indiana",2002,"9.1"
"Iowa",2002,"9.1999999999999993"
"Kansas",2002,"10.1"
"Kentucky",2002,"14.2"
"Louisiana",2002,"17.5"
"Maine",2002,"13.4"
"Maryland",2002,"7.4"
"Massachusetts",2002,"10"
"Michigan",2002,"11.6"
"Minnesota",2002,"6.5"
"Mississippi",2002,"18.399999999999999"
"Missouri",2002,"9.9"
"Montana",2002,"13.5"
"Nebraska",2002,"10.6"
"Nevada",2002,"8.9"
"New Hampshire",2002,"5.8"
"New Jersey",2002,"7.9"
"New Mexico",2002,"17.899999999999999"
"New York",2002,"14"
"North Carolina",2002,"14.3"
"North Dakota",2002,"11.6"
"Ohio",2002,"9.8000000000000007"
"Oklahoma",2002,"14.1"
"Oregon",2002,"10.9"
"Pennsylvania",2002,"9.5"
"Rhode Island",2002,"11"
"South Carolina",2002,"14.3"
"South Dakota",2002,"11.5"
"Tennessee",2002,"14.8"
"Texas",2002,"15.6"
"Utah",2002,"9.9"
"Vermont",2002,"9.9"
"Virginia",2002,"9.9"
"Washington",2002,"11"
"West Virginia",2002,"16.8"
"Wisconsin",2002,"8.6"
"Wyoming",2002,"9"
"Alabama",2001,"15.9"
"Alaska",2001,"8.5"
"Arizona",2001,"14.6"
"Arkansas",2001,"17.8"
"California",2001,"12.6"
"Colorado",2001,"8.6999999999999993"
"Connecticut",2001,"7.3"
"Delaware",2001,"6.7"
"District of Columbia",2001,"18.2"
"Florida",2001,"12.7"
"Georgia",2001,"12.9"
"Hawaii",2001,"11.4"
"Idaho",2001,"11.5"
"Illinois",2001,"10.1"
"Indiana",2001,"8.5"
"Iowa",2001,"7.4"
"Kansas",2001,"10.1"
"Kentucky",2001,"12.6"
"Louisiana",2001,"16.2"
"Maine",2001,"10.3"
"Maryland",2001,"7.2"
"Massachusetts",2001,"8.9"
"Michigan",2001,"9.4"
"Minnesota",2001,"7.4"
"Mississippi",2001,"19.3"
"Missouri",2001,"9.6999999999999993"
"Montana",2001,"13.3"
"Nebraska",2001,"9.4"
"Nevada",2001,"7.1"
"New Hampshire",2001,"6.5"
"New Jersey",2001,"8.1"
"New Mexico",2001,"18"
"New York",2001,"14.2"
"North Carolina",2001,"12.5"
"North Dakota",2001,"13.8"
"Ohio",2001,"10.5"
"Oklahoma",2001,"15.1"
"Oregon",2001,"11.8"
"Pennsylvania",2001,"9.6"
"Rhode Island",2001,"9.6"
"South Carolina",2001,"15.1"
"South Dakota",2001,"8.4"
"Tennessee",2001,"14.1"
"Texas",2001,"14.9"
"Utah",2001,"10.5"
"Vermont",2001,"9.6999999999999993"
"Virginia",2001,"8"
"Washington",2001,"10.7"
"West Virginia",2001,"16.399999999999999"
"Wisconsin",2001,"7.9"
"Wyoming",2001,"8.6999999999999993"
"Alabama",2000,"13.3"
"Alaska",2000,"7.6"
"Arizona",2000,"11.7"
"Arkansas",2000,"16.5"
"California",2000,"12.7"
"Colorado",2000,"9.8000000000000007"
"Connecticut",2000,"7.7"
"Delaware",2000,"8.4"
"District of Columbia",2000,"15.2"
"Florida",2000,"11"
"Georgia",2000,"12.1"
"Hawaii",2000,"8.9"
"Idaho",2000,"12.5"
"Illinois",2000,"10.7"
"Indiana",2000,"8.5"
"Iowa",2000,"8.3000000000000007"
"Kansas",2000,"8"
"Kentucky",2000,"12.6"
"Louisiana",2000,"17.2"
"Maine",2000,"10.1"
"Maryland",2000,"7.4"
"Massachusetts",2000,"9.8000000000000007"
"Michigan",2000,"9.9"
"Minnesota",2000,"5.7"
"Mississippi",2000,"14.9"
"Missouri",2000,"9.1999999999999993"
"Montana",2000,"14.1"
"Nebraska",2000,"8.6"
"Nevada",2000,"8.8000000000000007"
"New Hampshire",2000,"4.5"
"New Jersey",2000,"7.3"
"New Mexico",2000,"17.5"
"New York",2000,"13.9"
"North Carolina",2000,"12.5"
"North Dakota",2000,"10.4"
"Ohio",2000,"10"
"Oklahoma",2000,"14.9"
"Oregon",2000,"10.9"
"Pennsylvania",2000,"8.6"
"Rhode Island",2000,"10.199999999999999"
"South Carolina",2000,"11.1"
"South Dakota",2000,"10.7"
"Tennessee",2000,"13.5"
"Texas",2000,"15.5"
"Utah",2000,"7.6"
"Vermont",2000,"10"
"Virginia",2000,"8.3000000000000007"
"Washington",2000,"10.8"
"West Virginia",2000,"14.7"
"Wisconsin",2000,"9.3000000000000007"
"Wyoming",2000,"10.8"
"Alabama",1999,"15.2"
"Alaska",1999,"7.6"
"Arizona",1999,"12.2"
"Arkansas",1999,"14.7"
"California",1999,"14"
"Colorado",1999,"8.5"
"Connecticut",1999,"7.2"
"Delaware",1999,"10.4"
"District of Columbia",1999,"14.7"
"Florida",1999,"12.4"
"Georgia",1999,"12.8"
"Hawaii",1999,"10.8"
"Idaho",1999,"14.1"
"Illinois",1999,"9.9"
"Indiana",1999,"6.7"
"Iowa",1999,"7.4"
"Kansas",1999,"12.3"
"Kentucky",1999,"12.1"
"Louisiana",1999,"19.2"
"Maine",1999,"10.6"
"Maryland",1999,"7.3"
"Massachusetts",1999,"11.8"
"Michigan",1999,"9.6999999999999993"
"Minnesota",1999,"7.3"
"Mississippi",1999,"16.2"
"Missouri",1999,"11.7"
"Montana",1999,"15.8"
"Nebraska",1999,"11"
"Nevada",1999,"11.3"
"New Hampshire",1999,"7.6"
"New Jersey",1999,"7.8"
"New Mexico",1999,"20.9"
"New York",1999,"14.2"
"North Carolina",1999,"13.8"
"North Dakota",1999,"13.1"
"Ohio",1999,"12"
"Oklahoma",1999,"12.8"
"Oregon",1999,"12.6"
"Pennsylvania",1999,"9.3000000000000007"
"Rhode Island",1999,"10"
"South Carolina",1999,"11.7"
"South Dakota",1999,"7.7"
"Tennessee",1999,"11.9"
"Texas",1999,"15.2"
"Utah",1999,"5.7"
"Vermont",1999,"9.6"
"Virginia",1999,"7.9"
"Washington",1999,"9.6"
"West Virginia",1999,"15.7"
"Wisconsin",1999,"8.6"
"Wyoming",1999,"11.6"
